Parallel writer running on cpu 23
mean: 89.18, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.87, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.39, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 96
mean: 89.53, min: 87, 50th: 90, 90th: 91, 99th: 98, max: 98
mean: 89.20, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 98
mean: 89.01, min: 88, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.22, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.32, min: 88, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 88.70, min: 86, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 100
mean: 89.01, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 99
mean: 88.96, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.50, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 88.99, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.50, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 88.99, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.96, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.47, min: 87, 50th: 90, 90th: 91, 99th: 93, max: 95
mean: 89.10, min: 86, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.38, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.07, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 99
mean: 89.07, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.27, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.53, min: 87, 50th: 90, 90th: 91, 99th: 97, max: 98
mean: 89.50, min: 86, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.18, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 88.93, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 88.92, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 94
mean: 89.50, min: 88, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 88.79, min: 87, 50th: 88, 90th: 90, 99th: 97, max: 97
mean: 88.76, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.76, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.14, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.16, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 97
mean: 89.54, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.94, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 98
mean: 89.16, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 89.24, min: 86, 50th: 88, 90th: 91, 99th: 97, max: 99
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.02, min: 88, 50th: 89, 90th: 90, 99th: 93, max: 95
mean: 88.80, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.23, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 88.80, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.70, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 97
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 88.74, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.92, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 88.89, min: 87, 50th: 88, 90th: 91, 99th: 95, max: 96
mean: 88.94, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.04, min: 87, 50th: 88, 90th: 91, 99th: 95, max: 95
mean: 89.06, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 94
mean: 89.00, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 89.19, min: 87, 50th: 89, 90th: 91, 99th: 98, max: 98
mean: 88.41, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.43, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 88.55, min: 87, 50th: 88, 90th: 90, 99th: 96, max: 97
mean: 89.23, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.90, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.43, min: 85, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.26, min: 88, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.89, min: 86, 50th: 89, 90th: 90, 99th: 94, max: 94
mean: 89.44, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.21, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 106
mean: 88.91, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.09, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.96, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 89.13, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.82, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 88.86, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.37, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.18, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 98
mean: 89.39, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.18, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 99
mean: 89.29, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.94, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 96
mean: 89.39, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.74, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 96
mean: 89.51, min: 86, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.90, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 88.95, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.94, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.42, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 98
mean: 89.01, min: 85, 50th: 89, 90th: 90, 99th: 96, max: 98
mean: 88.90, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 98
mean: 89.27, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 98
mean: 89.52, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 99
mean: 88.75, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 100
mean: 88.94, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.33, min: 88, 50th: 89, 90th: 91, 99th: 94, max: 94
mean: 88.82, min: 88, 50th: 88, 90th: 90, 99th: 94, max: 96
mean: 89.00, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.61, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 88.92, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 88.84, min: 88, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.11, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.82, min: 87, 50th: 88, 90th: 90, 99th: 97, max: 98
mean: 88.59, min: 86, 50th: 88, 90th: 90, 99th: 97, max: 97
mean: 89.76, min: 88, 50th: 90, 90th: 91, 99th: 96, max: 119
mean: 89.55, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.70, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 160
mean: 89.63, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 150
mean: 89.48, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 159
mean: 89.46, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.84, min: 86, 50th: 89, 90th: 91, 99th: 95, max: 135
mean: 88.87, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 88.99, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.51, min: 88, 50th: 89, 90th: 90, 99th: 97, max: 136
mean: 89.02, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.02, min: 86, 50th: 89, 90th: 90, 99th: 94, max: 98
mean: 89.37, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 96
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.16, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.23, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 89.10, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 99
mean: 89.21, min: 88, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.80, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.41, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 88.36, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.98, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 98
mean: 88.52, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 98
mean: 88.95, min: 88, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 88.95, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 88.82, min: 86, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.90, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.89, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.72, min: 85, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.58, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 89.02, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 99
mean: 89.13, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.14, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.46, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 96
mean: 88.86, min: 87, 50th: 88, 90th: 91, 99th: 95, max: 98
mean: 88.94, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.97, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.05, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.22, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.52, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 89.60, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.83, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.43, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.14, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.56, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 89.12, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.81, min: 88, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.81, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 94
mean: 89.58, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 98
mean: 89.22, min: 88, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 88.88, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.85, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 89.21, min: 88, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.30, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.15, min: 85, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.47, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 88.76, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.38, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.35, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.51, min: 88, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.24, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.54, min: 86, 50th: 90, 90th: 91, 99th: 97, max: 97
mean: 89.00, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 94
mean: 89.03, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 97
mean: 88.33, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.37, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.18, min: 86, 50th: 89, 90th: 91, 99th: 98, max: 98
mean: 88.65, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 97
mean: 89.57, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 98
mean: 89.23, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 88.81, min: 86, 50th: 89, 90th: 90, 99th: 92, max: 95
mean: 89.37, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.45, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.22, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 99
mean: 89.28, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.00, min: 86, 50th: 88, 90th: 91, 99th: 100, max: 101
mean: 88.88, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.31, min: 88, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.36, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.64, min: 87, 50th: 90, 90th: 91, 99th: 98, max: 98
mean: 89.57, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 95
mean: 89.02, min: 87, 50th: 88, 90th: 91, 99th: 94, max: 94
mean: 89.52, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.22, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 100
mean: 88.94, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 88.74, min: 87, 50th: 88, 90th: 90, 99th: 97, max: 98
mean: 88.77, min: 87, 50th: 88, 90th: 91, 99th: 95, max: 97
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.42, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 88.44, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 99
mean: 88.29, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.50, min: 88, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.33, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.46, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 89.12, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 88.74, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.22, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 88.82, min: 87, 50th: 89, 90th: 90, 99th: 92, max: 96
mean: 89.10, min: 88, 50th: 89, 90th: 90, 99th: 96, max: 104
mean: 89.31, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 103
mean: 89.50, min: 86, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 88.90, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.36, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 96
mean: 89.35, min: 86, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.51, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 88.26, min: 87, 50th: 88, 90th: 89, 99th: 91, max: 97
mean: 88.36, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 88.97, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 98
mean: 88.89, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 88.43, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.09, min: 88, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.39, min: 88, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.29, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 99
mean: 88.80, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.12, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 88.38, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 98
mean: 88.91, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 100
mean: 88.99, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.90, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 88.63, min: 87, 50th: 88, 90th: 90, 99th: 96, max: 97
mean: 89.36, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.42, min: 88, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 88.36, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.16, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.02, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 98
mean: 88.40, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 98
mean: 89.14, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 88.89, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 88.84, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.32, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.41, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 88.34, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.18, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.10, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 98
mean: 89.02, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.42, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 88.39, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.29, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.28, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.32, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.36, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.06, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 88.34, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.62, min: 87, 50th: 89, 90th: 91, 99th: 98, max: 104
mean: 89.22, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.92, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 88.98, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 88.76, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 89.29, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 97
mean: 89.06, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 96
mean: 88.48, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 98
mean: 89.70, min: 88, 50th: 90, 90th: 91, 99th: 97, max: 98
mean: 89.50, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 89.22, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 100
mean: 89.40, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 97
mean: 88.50, min: 85, 50th: 88, 90th: 89, 99th: 97, max: 99
mean: 89.06, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 99
mean: 88.31, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.21, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 98
mean: 89.54, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 89.06, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.46, min: 88, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.42, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.36, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.50, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 88.82, min: 85, 50th: 88, 90th: 90, 99th: 97, max: 98
mean: 88.87, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 96
mean: 88.42, min: 86, 50th: 88, 90th: 89, 99th: 97, max: 98
mean: 89.02, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 89.07, min: 88, 50th: 88, 90th: 91, 99th: 96, max: 96
mean: 88.86, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.40, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.49, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 98
mean: 88.38, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.56, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 95
mean: 89.34, min: 88, 50th: 89, 90th: 91, 99th: 98, max: 98
mean: 89.53, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 88.94, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.02, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 99
mean: 88.90, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.98, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.90, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.41, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.06, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 93, max: 94
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.47, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 88.91, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.24, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.34, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.46, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 89.42, min: 88, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.14, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 97
mean: 89.57, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 89.07, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.97, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 101
mean: 89.34, min: 88, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.53, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 88.56, min: 87, 50th: 88, 90th: 89, 99th: 97, max: 98
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.56, min: 88, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 89.30, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.78, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.46, min: 87, 50th: 90, 90th: 91, 99th: 93, max: 94
mean: 88.36, min: 86, 50th: 88, 90th: 89, 99th: 97, max: 97
mean: 89.02, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.11, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.29, min: 86, 50th: 89, 90th: 91, 99th: 98, max: 99
mean: 88.93, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.14, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 88.96, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.00, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 98
mean: 88.82, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.23, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 89.45, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 89.52, min: 88, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.01, min: 88, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 98
mean: 89.47, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 88.91, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.21, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 95
mean: 89.58, min: 88, 50th: 90, 90th: 91, 99th: 97, max: 98
mean: 89.02, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 89.14, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 94
Unmapping...
mean: 89.42, min: 86, 50th: 90, 90th: 91, 99th: 93, max: 94
mean: 93.64, min: 86, 50th: 90, 90th: 105, 99th: 111, max: 119
mean: 93.17, min: 86, 50th: 90, 90th: 104, 99th: 112, max: 130
mean: 93.55, min: 87, 50th: 90, 90th: 104, 99th: 112, max: 117
mean: 94.22, min: 87, 50th: 91, 90th: 105, 99th: 111, max: 116
mean: 94.14, min: 86, 50th: 91, 90th: 105, 99th: 113, max: 113
mean: 93.79, min: 87, 50th: 90, 90th: 105, 99th: 113, max: 121
mean: 93.55, min: 86, 50th: 90, 90th: 105, 99th: 116, max: 120
mean: 93.11, min: 85, 50th: 90, 90th: 104, 99th: 112, max: 116
mean: 94.06, min: 85, 50th: 91, 90th: 105, 99th: 111, max: 114
mean: 94.08, min: 87, 50th: 91, 90th: 105, 99th: 117, max: 117
mean: 94.31, min: 87, 50th: 91, 90th: 105, 99th: 119, max: 121
mean: 95.20, min: 87, 50th: 92, 90th: 109, 99th: 116, max: 118
mean: 94.59, min: 86, 50th: 92, 90th: 105, 99th: 112, max: 117
mean: 94.78, min: 86, 50th: 91, 90th: 106, 99th: 119, max: 123
mean: 94.42, min: 86, 50th: 91, 90th: 105, 99th: 113, max: 114
mean: 95.16, min: 85, 50th: 93, 90th: 106, 99th: 117, max: 127
